Symbol,Name,Link,matched_company_name,score
AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,APPLE INC,1690.0
ABBV,AbbVie Inc.,https://en.wikipedia.org/wiki/AbbVie_Inc.,ABBVIE INC,16101.0
ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABBOTT LABORATORIES,1078.0
ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,ACCENTURE PLC,143357.0
ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,ADOBE INC,12540.0
AGN,Allergan,https://en.wikipedia.org/wiki/Allergan,ALLERGAN INC,15708.0
AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group,AMERICAN INTERNATIONAL GROUP,1487.0
ALL,Allstate,https://en.wikipedia.org/wiki/Allstate,ALLSTATE CORP,28349.0
AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen,AMGEN INC,1602.0
AMZN,Amazon.com,https://en.wikipedia.org/wiki/Amazon.com,AMAZON.COM INC,64768.0
AXP,American Express,https://en.wikipedia.org/wiki/American_Express,AMERICAN EXPRESS CO,1447.0
BA,Boeing,https://en.wikipedia.org/wiki/Boeing,BOEING CO,2285.0
BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,BANK OF AMERICA CORP,7647.0
BIIB,Biogen,https://en.wikipedia.org/wiki/Biogen,VASCULAR BIOGENICS LTD,21209.0
BK,The Bank of New York Mellon,https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon,BANK OF NEW YORK MELLON CORP,2019.0
BKNG,Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,BOOKING HOLDINGS INC,119314.0
BLK,BlackRock,https://en.wikipedia.org/wiki/BlackRock,BLACKROCK INC,124434.0
BMY,Bristol-Myers Squibb,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb,BRISTOL-MYERS SQUIBB CO,2403.0
BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,BERKSHIRE HATHAWAY,2176.0
C,Citigroup,https://en.wikipedia.org/wiki/Citigroup,CITIGROUP INC,3243.0
CAT,Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,CATERPILLAR INC,2817.0
CELG,Celgene,https://en.wikipedia.org/wiki/Celgene,CELGENE CORP,13599.0
CHTR,Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications,CHARTER COMMUNICATIONS INC,126136.0
CL,Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive,COLGATE-PALMOLIVE CO,3170.0
CMCSA,Comcast,https://en.wikipedia.org/wiki/Comcast,COMCAST CORP,3226.0
COF,Capital One,https://en.wikipedia.org/wiki/Capital_One,CAPITAL ONE FINANCIAL CORP,30990.0
COP,ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,CONOCOPHILLIPS,8549.0
COST,Costco Wholesale Corp.,https://en.wikipedia.org/wiki/Costco_Wholesale_Corp.,COSTCO WHOLESALE CORP,29028.0
CSCO,Cisco Systems,https://en.wikipedia.org/wiki/Cisco_Systems,CISCO SYSTEMS INC,20779.0
CVS,CVS Health,https://en.wikipedia.org/wiki/CVS_Health,CVS HEALTH CORP,7241.0
CVX,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,CHEVRON CORP,2991.0
DD,DuPont de Nemours Inc,https://en.wikipedia.org/wiki/DuPont_de_Nemours_Inc,AARON'S INC,1076.0
